"Year";"Рентабельность активов"
"01/01/1995";"5.3"
"01/01/1996";"1.3"
"01/01/1997";"1.7"
"01/01/1998";"-0.9"
"01/01/1999";"5.0"
"01/01/2000";"7.6"
"01/01/2001";"6.1"
"01/01/2002";"4.3"
"01/01/2003";"5.9"
"01/01/2004";"8.5"
"01/01/2005";"8.8"
"01/01/2006";"12.2"
"01/01/2007";"10.4"
"01/01/2008";"5.4"
"01/01/2009";"5.5"
"01/01/2010";"6.7"
"01/01/2011";"6.5"
"01/01/2012";"6.1"
"01/01/2013";"4.5"
"01/01/2014";"2.5"
"01/01/2015";"3.7"
"01/01/2016";"5.9"
"01/01/2017";"3.8"
"01/01/2018";"4.7"
"01/01/2019";"5.8"
"01/01/2020";"4.1"
"01/01/2021";"9.3"
